国内/海外,站点名称,聚合参数,,区域名称,全量库,区域source,主帖/回帖,,,输入,,输出,爬虫入参,item_id开发优先级,主贴爬虫姿势,爬虫种子,,,,,,
,,,,,,,,,,,input,,,,,,,,,,,
,,app_id,scope_id,,,,site_id,site_name,cat_id,,,,,,,主回帖,主贴,互动量,评论,用户信息,商品信息,店铺信息
国内,,,32,游戏,,,,,,单帖url,,"主帖,评论,互动量,仅评论",full_url,,"{""crawler"":""1117643"",""full_url"":""%s"",""GLOBAL_UNIQUE_ON"":""false""}",,,,,,,
国内,,,,,,,,,,uid,,账号信息,,,,,,,,,,
国内,,,56,动态,,,,,,关键词,,"主帖,评论,互动量",,,,,,,,,,
国内,,,,,,,,,,单帖url,,"主帖,评论,互动量,仅评论",item_id,,"{""crawler"":""1183166"",""item_id"":""%s"",""GLOBAL_UNIQUE_ON"":""false""}",,,,,,,
国内,,,,,,,,,,uid,,"主帖,评论,互动量",,,,,,,,,,
国内,,,,,,,,,,话题关键词,,"主帖,评论,互动量",,,,,,,,,,
国内,,,69,专栏,,,,,,关键词,,"主帖,评论,互动量",,,,,,,,,,
国内,,,,,,,,,,单帖url,,"主帖,评论,互动量,仅评论",full_url,,"{""full_url"":""%s"",""crawler"":1146561,""runType"":0,""GLOBAL_UNIQUE_ON"":""false""}",,,,,,,
国内,,,,,,,,,,uid,,"主帖,评论,互动量",,,,,,,,,,
国内,,,70,番剧,,,,,,番剧url,,"长短评,剧集评论",,,,,,,,,,
国内,,,,,,,,,,剧集url,,剧集评论,,,,,,,,,,
国内,汽车之家,15,12,口碑,,汽车,,,,指定车系,,"主帖,评论,互动量",,,,,,,,,,
国内,,,,,,,,,,关键词,,"主帖,评论,互动量",,,,,,,,,,
国内,,,,,,,,,,单帖url,,"主帖,评论,互动量",full_url,,"{""crawler"": ""24531"",""full_url"":""%s"",""GLOBAL_UNIQUE_ON"":""false""}",,,,,,,
国内,,,,,,,,,,uid,,"主帖,评论,互动量,账号信息",,,,,,,,,,
国内,,,,,,,,,,用户url,,"主帖,评论,互动量,账号信息",,,,,,,,,,
国内,,,39,论坛,,新闻论坛,,,,指定板块（名称）,,"主帖,评论,互动量",,,,,,,,,,
国内,,,,,,,,,,关键词,,"主帖,评论,互动量",,,,,,,,,,
国内,,,,,,,,,,指定板块ID,,"主帖,评论,互动量",,,,,,,,,,
国内,,,,,,,,,,uid,,"主帖,评论,互动量,账号信息",,,,,,,,,,
国内,,,,,,,,,,单帖url,,"主帖,评论,互动量",full_url,,"{""crawler"": ""1183287"",""full_url"":""%s"",""GLOBAL_UNIQUE_ON"":""false""}",,,,,,,
国内,,,,,,,,,,用户url,,"主帖,评论,互动量,账号信息",,,,,,,,,,
国内,,,51,新闻,,新闻论坛,,,,关键词,,"主帖,评论,互动量",,,,,,,,,,
国内,,,,,,,,,,单帖url,,"主帖,评论,互动量",full_url,,"{""full_url"":""%s"",""crawler"":111582,""GLOBAL_UNIQUE_ON"":""false""}，{""full_url"":""%s"",""crawler"":100230,""GLOBAL_UNIQUE_ON"":""false""}",,,,,,,
国内,,,,,,,,,,uid,,"主帖,评论,互动量,账号信息",,,,,,,,,,
国内,,,,,,,,,,用户url,,"主帖,评论,互动量,账号信息",,,,,,,,,,
国内,太平洋汽车,16,13,点评,,,,,,指定车系,,"主帖,互动量",,,,,,,,,,
国内,,,,,,,,,,关键词,,"主帖,互动量",,,,,,,,,,
国内,,,,,,,,,,uid,,"主帖,互动量",,,,,,,,,,
国内,,,,,,,,,,单帖url,,"主帖,评论,互动量",item_id,,"{""item_id"":""%s"",""crawler"":23695,""sort"":""time""}，{""item_id"":""%s"",""crawler"":23687,""sort"":""time""}",,,,,,,
国内,,,41,论坛,,,,,,指定板块（名称）,,"主帖,评论,互动量",,,,,,,,,,
国内,,,,,,,,,,关键词,,"主帖,评论,互动量",,,,,,,,,,
国内,,,,,,,,,,指定板块ID,,"主帖,评论,互动量",,,,,,,,,,
国内,,,,,,,,,,uid,,"主帖,评论,互动量",,,,,,,,,,
国内,,,,,,,,,,单帖url,,"主帖,评论,互动量",full_url,,"{""crawler"": ""1183290"",""full_url"":""%s"",""GLOBAL_UNIQUE_ON"":""false""}",,,,,,,
国内,,,55,新闻,,,,,,关键词,,"主帖,评论,互动量",,,,,,,,,,
国内,,,,,,,,,,单帖url,,"主帖,评论,互动量",full_url,,"{""full_url"":""%s"",""crawler"":24636,""GLOBAL_UNIQUE_ON"":""false""}，{""crawler"": ""1146978"",""full_url"":""%s"",""GLOBAL_UNIQUE_ON"":""false""}，{""crawler"": ""24636"",""full_url"":""%s"",""GLOBAL_UNIQUE_ON"":""false""}",,,,,,,
国内,,,,,,,,,,uid,,"主帖,评论,互动量",,,,,,,,,,
国内,易车网,17,14,点评,,,,,,指定车系,,"主帖,评论,互动量",,,,,,,,,,
国内,,,,,,,,,,关键词,,"主帖,评论,互动量",,,,,,,,,,
国内,,,,,,,,,,uid,,"主帖,评论,互动量",,,,,,,,,,
国内,,,,,,,,,,单帖url,,"主帖,评论,互动量",full_url,,"{""crawler"": ""1183273"",""full_url"":""%s"",""GLOBAL_UNIQUE_ON"":""false""}",,,,,,,
国内,,,40,论坛,,,,,,指定板块（名称）,,"主帖,评论,互动量",,,,,,,,,,
国内,,,,,,,,,,关键词,,"主帖,评论,互动量",,,,,,,,,,
国内,,,,,,,,,,指定板块ID,,"主帖,评论,互动量",,,,,,,,,,
国内,,,,,,,,,,uid,,"主帖,评论,互动量",,,,,,,,,,
国内,,,,,,,,,,单帖url,,"主帖,评论,互动量",full_url,,"{""crawler"": ""1183289"",""full_url"":""%s"",""GLOBAL_UNIQUE_ON"":""false""}",,,,,,,
国内,,,52,新闻,,,,,,关键词,,"主帖,评论,互动量",,,,,,,,,,
国内,,,,,,,,,,单帖url,,"主帖,评论,互动量",full_url,,"{""full_url"":""%s"",""crawler"":1118731,""GLOBAL_UNIQUE_ON"":""false""}",,,,,,,
国内,,,,,,,,,,uid,,"主帖,评论,互动量",,,,,,,,,,
国内,爱卡汽车网,18,15,口碑,,,,,,指定车系,,"主帖,互动量",,,,,,,,,,
国内,,,,,,,,,,关键词,,"主帖,互动量",,,,,,,,,,
国内,,,,,,,,,,uid,,"主帖,互动量",,,,,,,,,,
国内,,,42,论坛,,,,,,指定板块（名称）,,"主帖,评论,互动量",,,,,,,,,,
国内,,,,,,,,,,关键词,,"主帖,评论,互动量",,,,,,,,,,
国内,,,,,,,,,,指定板块ID,,"主帖,评论,互动量",,,,,,,,,,
国内,,,,,,,,,,uid,,"主帖,评论,互动量",,,,,,,,,,
国内,,,,,,,,,,单帖url,,"主帖,评论,互动量",full_url,,"{""crawler"": ""1183173"",""full_url"":""%s"",""GLOBAL_UNIQUE_ON"":""false""}",,,,,,,
国内,,,53,新闻,,,,,,关键词,,"主帖,评论,互动量",,,,,,,,,,
国内,,,,,,,,,,单帖url,,"主帖,评论,互动量",full_url,,"{""full_url"":""%s"",""crawler"":24625,""GLOBAL_UNIQUE_ON"":""false""}，{""crawler"": ""1183501"",""full_url"":""%s"",""GLOBAL_UNIQUE_ON"":""false""}",,,,,,,
国内,,,,,,,,,,uid,,"主帖,评论,互动量",,,,,,,,,,
国内,妈妈网,30,21,-,,,90034,妈妈网,,uid,,"主帖,评论",,,,,,,,,,
国内,天猫,31,22,-,,,,,,商品url,,"商品信息,商品评论",full_url,,"{""full_url"":""%s"",""crawler"":24823,""GLOBAL_UNIQUE_ON"":""false""}",,,,,,,
国内,,,,,,,,,,店铺url,,商品信息,shopId,,"{""crawler"":2051,""shop_id"":""%s"",""GLOBAL_UNIQUE_ON"":""false""}",,,,,,,
国内,,,,,,,,,,关键词,,"商品信息,商品评论",,,,,,,,,,
国内,淘宝,32,23,-,,,,,,商品url,,"商品信息,商品评论",,,,,,,,,,
国内,,,,,,,,,,店铺url,,商品信息,shopId,,"{""hermesAppId"":""20605"",""crawler"":1182838,""shop_id"":""%s"",""GLOBAL_UNIQUE_ON"":""false""}",,,,,,,
国内,,,,,,,,,,关键词,,"商品信息,商品评论",,,,,,,,,,
国内,京东,33,24,-,,,,,,商品url,,"商品信息,商品评论",full_url,,"{""full_url"":""%s"",""crawler"":21172,""GLOBAL_UNIQUE_ON"":""false"",""hermesAppId"":""120928173""}",,,,,,,
国内,,,,,,,,,,店铺url,,商品信息,"shop_url,keyword",,"{""crawler"":8374,""shop_url"":""%s"",""keyword"":""%s"",""GLOBAL_UNIQUE_ON"":""false"",""hermesAppId"":""120928173""}",,,,,,,
国内,,,,,,,,,,关键词,,"商品信息,商品评论",,,,,,,,,,
国内,苏宁,34,25,-,,,,,,商品url,,"商品信息,商品评论",full_url,,"{""full_url"":""%s"",""crawler"":21174,""GLOBAL_UNIQUE_ON"":""false""}",,,,,,,
国内,,,,,,,,,,店铺url,,商品信息,"keyword,shop_url",,"{""crawler"":8375,""shop_url"":""%s"",""keyword"":""%s"",""GLOBAL_UNIQUE_ON"":""false""}",,,,,,,
国内,,,,,,,,,,关键词,,"商品信息,商品评论",,,,,,,,,,
国内,网易考拉,35,27,-,,,,,,商品url,,"商品信息,商品评论",full_url,,"{""full_url"":""%s"",""crawler"":299,""GLOBAL_UNIQUE_ON"":""false""}",,,,,,,
国内,,,,,,,,,,店铺url,,商品信息,"shop_url,keyword",,"{""crawler"":111250,""shop_url"":""%s"",""keyword"":""%s"",""GLOBAL_UNIQUE_ON"":""false""}",,,,,,,
国内,,,,,,,,,,关键词,,"商品信息,商品评论",,,,,,,,,,
国内,唯品会,36,26,-,,,,,,商品url,,"商品信息,商品评论",full_url,,"{""full_url"":""%s"",""crawler"":8591,""GLOBAL_UNIQUE_ON"":""false""}",,,,,,,
国内,,,,,,,,,,店铺url,,商品信息,"shop_url,keyword",,"{""crawler"":111251,""shop_url"":""%s"",""keyword"":""%s"",""GLOBAL_UNIQUE_ON"":""false""}",,,,,,,
国内,,,,,,,,,,关键词,,"商品信息,商品评论",,,,,,,,,,
国内,大众点评,44,30,店铺数据,,,,,,关键词,,"店铺评论,店铺信息",,,,,,,,,,
国内,,,,,,,,,,店铺url,,"店铺评论,店铺信息,推荐商品",,,,,,,,,,
国内,,,,,,,,,,店铺品类,,店铺信息,,,,,,,,,,
国内,,,59,笔记数据,,,25062088,大众点评笔记,,关键词,,"主帖,互动量",,,,,,,,,,
国内,,,,,,,,,,单帖url,,"主帖,互动量",full_url,,"{""full_url"":""%s"",""crawler"":1183271,""GLOBAL_UNIQUE_ON"":""false""}",,,,,,,
国内,TapTap,45,31,游戏,,,,,,单帖url,,"主帖,评论,互动量,仅评论",full_url,,"{""full_url"":""%s"",""crawler"":1183271,""GLOBAL_UNIQUE_ON"":""false""}",,,,,,,
国内,,,,,,,,,,uid,,账号信息,,,,,,,,,,
国内,,,,,,,,,,回帖url,,仅评论,,,,,,,,,,
国内,,,66,论坛,,新闻论坛,"
25858961",Taptap论坛,,关键词,,"主帖,评论,互动量,仅评论",,,,,,,,,,
国内,,,,,,,,,,单帖url,,"主帖,评论,互动量,仅评论",full_url,,"{""full_url"":""%s"",""runType"":""0"",""GLOBAL_UNIQUE_ON"":""false"",""crawler"":1183373}",,,,,,,
国内,,,,,,,,,,指定板块（名称）,,"主帖,评论,互动量,仅评论",,,,,,,,,,
国内,,,,,,,,,,指定板块ID,,"主帖,评论,互动量,仅评论",,,,,,,,,,
国内,,,,,,,,,,回帖url,,仅评论,,,,,,,,,,
国内,懂车帝,53,38,口碑,,,,,,指定车系,,"主帖,评论,互动量",,,,,,,,,,
国内,,,,,,,,,,关键词,,"主帖,评论,互动量",,,,,,,,,,
国内,,,,,,,,,,uid,,"主帖,评论,互动量,账号信息",,,,,,,,,,
国内,,,,,,,,,,单帖url,,"主帖,评论,互动量",full_url,,"{""crawler"": ""1122698"",""full_url"":""%s"",""GLOBAL_UNIQUE_ON"":""false""}",,,,,,,
国内,,,,,,,,,,用户url,,"主帖,评论,互动量,账号信息",,,,,,,,,,
国内,,,43,论坛,,,,,,指定板块（名称）,,"主帖,评论,互动量",,,,,,,,,,
国内,,,,,,,,,,关键词,,"主帖,评论,互动量",,,,,,,,,,
国内,,,,,,,,,,指定板块ID,,"主帖,评论,互动量",,,,,,,,,,
国内,,,,,,,,,,uid,,"主帖,评论,互动量,账号信息",,,,,,,,,,
国内,,,,,,,,,,单帖url,,"主帖,评论,互动量",full_url,,"{""crawler"": ""1183138"",""full_url"":""%s"",""GLOBAL_UNIQUE_ON"":""false""}",,,,,,,
国内,,,,,,,,,,用户url,,"主帖,评论,互动量,账号信息",,,,,,,,,,
国内,,,54,新闻,,,,,,关键词,,"主帖,评论,互动量",,,,,,,,,,
国内,,,,,,,,,,单帖url,,"主帖,评论,互动量",full_url,,"{""crawler"": ""1116993"",""full_url"":""%s"",""GLOBAL_UNIQUE_ON"":""false""}",,,,,,,
国内,,,,,,,,,,uid,,"主帖,评论,互动量,账号信息",,,,,,,,,,
国内,,,,,,,,,,用户url,,"主帖,评论,互动量,账号信息",,,,,,,,,,
国内,网易新闻,54,33,-,,,125343,网易网_新闻(c.m.163.com),,关键词,,"主帖,评论,互动量",,,,,,,,,,
国内,,,,,,,1011543,网易号,,单帖url,,"主帖,评论,互动量",full_url,,"{""crawler"": ""1146156"",""full_url"":""%s"",""runType"":0,""GLOBAL_UNIQUE_ON"":""false""}",,,,,,,
国内,新浪新闻,55,36,-,,,,,,关键词,,"主帖,评论,互动量",,,,,,,,,,
国内,,,,,,,,,,单帖url,,"主帖,评论,互动量",item_id,,"{""newsId"":""%s"",""crawler"":100386,""runType"":0}",,,,,,,
国内,搜狐新闻,56,35,-,,,,,,关键词,,"主帖,评论,互动量",,,,,,,,,,
国内,,,,,,,,,,单帖url,,"主帖,评论,互动量",full_url,,"{""crawler"": ""20143"",""full_url"":""%s"",""runType"":0,""GLOBAL_UNIQUE_ON"":""false"",""keep_url"": ""true""}",,,,,,,
国内,腾讯新闻,57,34,-,,,,,,关键词,,"主帖,评论,互动量",,,,,,,,,,
国内,,,,,,,,,,单帖url,,"主帖,评论,互动量",full_url,,"{""crawler"": ""111541"",""full_url"":""%s"",""runType"":0,""GLOBAL_UNIQUE_ON"":""false""}",,,,,,,
国内,百家号,58,37,-,,,,,,关键词,,"主帖,评论,互动量",,,,,,,,,,
国内,,,,,,,,,,单帖url,,"主帖,评论,互动量",full_url,,"{""crawler"": ""1146740"",""full_url"":""%s"",""runType"":0,""GLOBAL_UNIQUE_ON"":""false""}",,,,,,,
国内,Apple Appstore,69,44,-,,,,,,单帖url,,"主帖,评论,互动量,仅评论",full_url,,"{""full_url"":""%s"",""crawler"":23909,""GLOBAL_UNIQUE_ON"":""false"",""runType"":""0""}  ",,,,,,,
国内,微信视频号,70,50,-,,,,,,关键词,,"主帖,评论,互动量",,,,,,,,,,
国内,,,,,,,,,,item_id,,仅评论,,,,,,,,,,
国内,,,,,,,,,,uid,,"主帖,评论,互动量,账号信息",,,,,,,,,,
国内,得物app,71,57,笔记数据,,,,,,关键词,,"主帖,评论,互动量",,,,,,,,,,
国内,,,,,,,,,,单帖url,,"主帖,评论,互动量",full_url,,"{""full_url"":""%s"",""crawler"":1183364,""GLOBAL_UNIQUE_ON"":""false""}",,,,,,,
国内,,,,,,,,,,uid,,"主帖,评论,互动量,账号信息",,,,,,,,,,
国内,车质网,72,58,投诉,,,,,,指定车系,,主帖,,,,,,,,,,
国内,,,,,,,,,,关键词,,主帖,,,,,,,,,,
国内,酷安,74,61,-,,,,,,关键词,,"主帖,评论,互动量",,,,,,,,,,
国内,,,,,,,,,,单帖url,,"主帖,评论,互动量,仅评论",full_url,,"{""full_url"":""%s"",""crawler"":1127320}",,,,,,,
国内,,,,,,,,,,uid,,"主帖,评论,互动量,账号信息",,,,,,,,,,
国内,OPPO社区,75,62,论坛,,,,,,单帖url,,"主帖,评论,互动量,仅评论",full_url,,"{""full_url"":""%s"",""crawler"":1781,""runType"":1,""GLOBAL_UNIQUE_ON"":""false""}",,,,,,,
国内,,,,,,,,,,关键词,,"主帖,评论,互动量",,,,,,,,,,
国内,晋江文学城,76,63,-,,,,,,关键词,,"主帖,评论",,,,,,,,,,
国内,百度贴吧,77,64,-,,,,,,指定吧名,,"主帖,评论,互动量,仅评论",,,,,,,,,,
国内,,,,,,,,,,关键词,,"主帖,评论,互动量,仅评论",,,,,,,,,,
国内,,,,,,,,,,单帖url,,"主帖,评论,互动量",full_url,,"{""full_url"":""%s"",""crawler"":1116671,""runType"":0,""GLOBAL_UNIQUE_ON"":""false""}",,,,,,,
国内,NGA,78,65,-,,,,,,指定板块（名称）,,"主帖,评论,互动量,仅评论",,,,,,,,,,
国内,,,,,,,,,,关键词,,"主帖,评论,互动量,仅评论",,,,,,,,,,
国内,,,,,,,,,,指定板块ID,,"主帖,评论,互动量,仅评论",,,,,,,,,,
国内,,,,,,,,,,单帖url,,"主帖,评论,互动量",full_url,,"{""full_url"":""%s"",""crawler"":1118640,""runType"":0,""GLOBAL_UNIQUE_ON"":""false""}",,,,,,,
国内,虎扑,83,67,-,,,,,,关键词,,"主帖,评论,互动量",,,,,,,,,,
国内,,,,,,,,,,单帖url,,"主帖,评论,互动量",full_url,,"{""crawler"":""1146204"",""full_url"":""%s"",""GLOBAL_UNIQUE_ON"":""false"",""runType"":""0""}",,,,,,,
国内,Lofter,84,68,-,,,,,,关键词,,"主帖,评论",,,,,,,,,,
国内,,,,,,,,,,话题（名称）,,"主帖,评论",,,,,,,,,,
国内,好游快爆,85,71,游戏,,,,,,单帖url,,"主帖,评论,互动量,仅评论",full_url,,"{""full_url"":""%s"",""crawler"":1183390,""runType"":1}",,,,,,,
国内,,,82,论坛,,,,,,指定板块（名称）,,"主帖,评论",,,,,,,,,,
国内,,,,,,,,,,指定板块ID,,"主帖,评论",,,,,,,,,,
国内,黑猫投诉,92,76,投诉,,,,,,关键词,,主帖,,,,,,,,,,
国内,脉脉,97,77,-,,,,,,关键词,,"主帖,评论",,,,,,,,,,
国内,,,,,,,,,,uid,,"主帖,评论",,,,,,,,,,
国内,凤凰网,98,79,-,,,,,,关键词,,"主帖,评论,互动量",,,,,,,,,,
国内,,,,,,,,,,单帖url,,"主帖,评论,互动量",full_url,,"{""full_url"":""%s"",""crawler"":1122700,""GLOBAL_UNIQUE_ON"":""false""}",,,,,,,
