国内/海外,站点名称,聚合参数,,区域名称,全量库,区域source,主帖/回帖,,,输入,,输出,爬虫入参,item_id开发优先级,主贴爬虫姿势,爬虫种子,,,,,,
,,,,,,,,,,,input,,,,,,,,,,,
,,app_id,scope_id,,,,site_id,site_name,cat_id,,,,,,,主回帖,主贴,互动量,评论,用户信息,商品信息,店铺信息
国内,,,,,,,,,,关键词,,"主帖,评论,互动量",,,,,,,,,,
国内,,,,,,,,,,uid,,"主帖,评论,互动量",,,,,,,,,,
国内,,,,,,,,,,单帖url,,"主帖,评论,互动量",full_url,,"{""full_url"":""%s"",""crawler"":100610127,""GLOBAL_UNIQUE_ON"":""false""}",,,,,,,
国内,旅法师营地,104,88,-,,,,,,指定板块（名称）,,"主帖,评论,互动量,仅评论",,,,,,,,,,
国内,,,,,,,,,,关键词,,"主帖,评论,互动量,仅评论",,,,,,,,,,
国内,,,,,,,,,,单帖url,,"主帖,评论,互动量",full_url,,"{""full_url"":""%s"",""crawler"":""100610148"",""GLOBAL_UNIQUE_ON"":""false"",""runType"":0}",,,,,,,
国内,凯恩之角,105,89,-,,,,,,指定板块（名称）,,"主帖,评论,互动量,仅评论",,,,,,,,,,
国内,,,,,,,,,,关键词,,"主帖,评论,互动量,仅评论",,,,,,,,,,
国内,,,,,,,,,,单帖url,,"主帖,评论,互动量",full_url,,"{""full_url"":""%s"",""crawler"":""100610150"",""GLOBAL_UNIQUE_ON"":""false"",""runType"":0}",,,,,,,
国内,小黑盒,106,90,论坛,,,,,,指定板块（名称）,,"主帖,评论,互动量,仅评论",,,,,,,,,,
国内,,,,,,,,,,关键词,,"主帖,评论,互动量,仅评论",,,,,,,,,,
国内,,,,,,,,,,单帖url,,"主帖,评论,互动量",full_url,,"{""full_url"":""%s"",""crawler"":100610356,""GLOBAL_UNIQUE_ON"":""false""}",,,,,,,
国内,,,,,,,,,,指定板块ID,,"主帖,评论,互动量,仅评论",,,,,,,,,,
国内,,,,,,,,,,uid,,"主帖,评论,互动量",,,,,,,,,,
国内,,,126,游戏,,,,,,单帖url,,"主帖,评论,互动量,仅评论",full_url,,"{""GLOBAL_UNIQUE_ON"":""false"",""runType"":""1"",""crawler"":""100610585"",""full_url"":""%s"",""hermesAppId"":""20895""}",,,,,,,
国内,中国汽车网,107,91,投诉,,,,,,指定车系,,主帖,,,,,,,,,,
国内,VIVO社区,108,92,论坛,,,,,,单帖url,,"主帖,评论,互动量",full_url,,"{""full_url"":""%s"",""crawler"":1120006,""GLOBAL_UNIQUE_ON"":""false""}",,,,,,,
国内,,,,,,,,,,关键词,,"主帖,评论,互动量",,,,,,,,,,
国内,IQOO社区,109,93,论坛,,,,,,单帖url,,"主帖,评论,互动量",full_url,,"{""full_url"":""%s"",""crawler"":100610359,""GLOBAL_UNIQUE_ON"":""false""}",,,,,,,
国内,,,,,,,,,,关键词,,"主帖,评论,互动量",,,,,,,,,,
国内,一点资讯,110,94,-,,,,,,单帖url,,"主帖,评论,互动量",full_url,,"{""full_url"":""%s"",""crawler"":20163,""GLOBAL_UNIQUE_ON"":""false""}",,,,,,,
国内,,,,,,,,,,关键词,,"主帖,评论,互动量",,,,,,,,,,
国内,UC大鱼号,111,95,-,,,,,,单帖url,,"主帖,互动量",full_url,,"{""full_url"":""%s"",""crawler"":1116568,""GLOBAL_UNIQUE_ON"":""false""}",,,,,,,
国内,企鹅号,112,96,-,,,,,,单帖url,,"主帖,互动量",full_url,,"{""full_url"":""%s"",""crawler"":111541,""GLOBAL_UNIQUE_ON"":""false""}",,,,,,,
国内,网上车市,113,97,-,,,,,,单帖url,,"主帖,互动量",full_url,,"{""full_url"":""%s"",""crawler"":100591,""GLOBAL_UNIQUE_ON"":""false""}",,,,,,,
国内,西瓜视频,114,98,-,,,,,,单帖url,,"主帖,互动量",full_url,,"{""full_url"":""%s"",""crawler"":24568,""GLOBAL_UNIQUE_ON"":""false""}",,,,,,,
国内,优酷,115,99,-,,,,,,单帖url,,"主帖,互动量",full_url,,"{""full_url"":""%s"",""crawler"":117,""GLOBAL_UNIQUE_ON"":""false""}",,,,,,,
国内,爱奇艺,116,100,-,,,,,,单帖url,,"主帖,评论,互动量",full_url,,"{""full_url"":""%s"",""crawler"":180,""GLOBAL_UNIQUE_ON"":""false""}",,,,,,,
国内,,,,,,,,,,关键词,,"主帖,评论,互动量",,,,,,,,,,
国内,小米社区,117,101,论坛,,,,,,关键词,,"主帖,评论,互动量",,,,,,,,,,
国内,,,,,,,,,,单帖url,,"主帖,评论,互动量",full_url,,"{""full_url"":""%s"",""crawler"":100610388,""GLOBAL_UNIQUE_ON"":""false""}",,,,,,,
国内,华为社区,118,102,论坛,,,,,,关键词,,"主帖,评论,互动量",,,,,,,,,,
国内,,,,,,,,,,单帖url,,"主帖,评论,互动量",full_url,,"{""full_url"":""%s"",""crawler"":1183231,""GLOBAL_UNIQUE_ON"":""false"",""TOP_PAGE"":""1""}",,,,,,,
国内,荣耀社区,119,103,论坛,,,,,,关键词,,"主帖,评论,互动量",,,,,,,,,,
国内,,,,,,,,,,单帖url,,"主帖,评论,互动量",full_url,,"{""full_url"":""%s"",""crawler"":1117736,""GLOBAL_UNIQUE_ON"":""false"",""TOP_PAGE"":""1""}",,,,,,,
国内,抖音电商,120,104,-,,,,,,商品id,,商品评论,,,,,,,,,,
国内,腾讯视频,142,127,-,,,,,,单帖url,,"主帖,评论,互动量",full_url,,"{""full_url"":""%s"",""crawler"":130,""GLOBAL_UNIQUE_ON"":""false""}",,,,,,,
国内,,,,,,,,,,关键词,,"主帖,评论,互动量",,,,,,,,,,
国内,搜狐视频,143,128,-,,,137895,,,单帖url,,"主帖,评论,互动量",full_url,,"{""full_url"":""%s"",""crawler"":175,""GLOBAL_UNIQUE_ON"":""false""}",,,,,,,
国内,,,,,,,,,,关键词,,"主帖,评论,互动量",,,,,,,,,,
国内,汽车头条,144,129,-,,,23433046,,,单帖url,,"主帖,互动量",full_url,,"{""full_url"":""%s"",""crawler"":100610596,""GLOBAL_UNIQUE_ON"":""false""}",,,,,,,
国内,,,,,,,,,,关键词,,"主帖,互动量",,,,,,,,,,
国内,百度知道,145,130,-,,,102026,,,单帖url,,"主帖,评论,互动量",full_url,,"{""full_url"":""%s"",""crawler"":1754,""GLOBAL_UNIQUE_ON"":""false""}",,,,,,,
国内,,,,,,,,,,关键词,,"主帖,评论,互动量",,,,,,,,,,
国内,界面新闻,148,131,-,,,1003348,,,单帖url,,"主帖,评论,互动量",full_url,,"{""full_url"":""%s"",""crawler"":100610627,""GLOBAL_UNIQUE_ON"":""false""}",,,,,,,
国内,,,,,,,,,,关键词,,"主帖,评论,互动量",,,,,,,,,,
国内,360快讯,149,132,-,,,1340282,,,单帖url,,"主帖,评论,互动量",full_url,,"{""full_url"":""%s"",""crawler"":100610622,""GLOBAL_UNIQUE_ON"":""false""}",,,,,,,
国内,,,,,,,,,,关键词,,"主帖,评论,互动量",,,,,,,,,,
国内,Zaker新闻,151,133,-,,,146521,,,单帖url,,"主帖,评论,互动量",full_url,,"{""full_url"":""%s"",""crawler"":100610638,""GLOBAL_UNIQUE_ON"":""false""}",,,,,,,
国内,,,,,,,,,,关键词,,"主帖,评论,互动量",,,,,,,,,,
国内,新浪汽车,152,134,新闻,,,1200070、125349（新浪视频）,,,指定板块（名称）,,"主帖,评论",,,,,,,,,,
国内,,,,,,,,,,关键词,,"主帖,评论",,,,,,,,,,
国内,,,,,,,,,,单帖url,,"主帖,评论",full_url,,"{""crawler"":1122936,""full_url"":""%s"",""GLOBAL_UNIQUE_ON"":""false""}",,,,,,,
海外,X,121,105,-,X-独立库,,1244070317,,41,关键词,,"主帖,评论,互动量",,,,,,,,,,
,,,,,,,,,,单帖url,,"主帖,评论,互动量,仅评论",full_url,,"{""full_url"":""%s"",""crawler"":100610400,""hermesAppId"":""120928374"",""GLOBAL_UNIQUE_ON"":""false""}",,,,,,,
,,,,,,,,,,uid,,"主帖,评论,互动量,账号信息",,,,,,,,,,
,,,,,,,,,,回帖url,,仅评论（含子评）,,,,,,,,,,
,,,,,,,,,,用户url,,"主帖,评论,互动量,账号信息",,,,,,,,,,
海外,YouTube,122,106,-,海外社媒大库,,1244193084,,33,关键词,,"主帖,评论,互动量",,,,,,,,,,
,,,,,,,,,,单帖url,,"主帖,评论,互动量",full_url,,"{""full_url"":""%s"",""crawler"":100610412,""hermesAppId"":""120928372"",""GLOBAL_UNIQUE_ON"":""false""}",,,,,,,
,,,,,,,,,,uid,,"主帖,评论,互动量,账号信息",,,,,,,,,,
,,,,,,,,,,用户url,,"主帖,评论,互动量,账号信息",,,,,,,,,,
海外,Reddit,123,107,-,海外社媒大库,,1228001,,32,关键词,,"主帖,评论,互动量",,,,,,,,,,
,,,,,,,,,,单帖url,,"主帖,评论,互动量,仅评论",full_url,,"{""full_url"":""%s"",""crawler"":100610407,""hermesAppId"":""120928373"",""GLOBAL_UNIQUE_ON"":""false""}",,,,,,,
,,,,,,,,,,回帖url,,仅评论（含子评）,,,,,,,,,,
,,,,,,,,,,uid,,"主帖,评论,互动量",,,,,,,,,,
,,,,,,,,,,指定板块（名称）,,"主帖,评论,互动量",,,,,,,,,,
,,,,,,,,,,用户url,,"主帖,评论,互动量,账号信息",,,,,,,,,,
海外,naver game,124,108,-,海外新闻论坛库,,1244369437,,32,关键词,,"主帖,评论,互动量",,,,,,,,,,
,,,,,,,,,,单帖url,,"主帖,评论,互动量",full_url,,"{""full_url"":""%s"",""crawler"":100610422,""hermesAppId"":""120928375"",""GLOBAL_UNIQUE_ON"":""false""}",,,,,,,
,,,,,,,,,,uid,,"主帖,评论,互动量",,,,,,,,,,
,,,,,,,,,,指定板块（名称）,,"主帖,评论,互动量",,,,,,,,,,
海外,naver cafe,125,109,-,海外新闻论坛库,,1244098518,,32,关键词,,"主帖,评论,互动量",,,,,,,,,,
,,,,,,,,,,单帖url,,"主帖,评论,互动量",full_url,,"{""full_url"":""%s"",""crawler"":100610402,""hermesAppId"":""120928375"",""GLOBAL_UNIQUE_ON"":""false""}",,,,,,,
,,,,,,,,,,uid,,"主帖,评论,互动量",,,,,,,,,,
,,,,,,,,,,指定板块（名称）,,"主帖,评论,互动量",,,,,,,,,,
海外,Dcinside,126,110,-,海外新闻论坛库,,1244369240,,32,关键词,,"主帖,评论,互动量",,,,,,,,,,
,,,,,,,,,,单帖url,,"主帖,评论,互动量",full_url,,"{""full_url"":""%s"",""crawler"":100610427,""hermesAppId"":""120928375"",""GLOBAL_UNIQUE_ON"":""false""}",,,,,,,
,,,,,,,,,,uid,,"主帖,评论,互动量",,,,,,,,,,
,,,,,,,,,,指定板块（名称）,,"主帖,评论,互动量",,,,,,,,,,
海外,discord,127,111,-,海外新闻论坛库,,1244261897,,38,关键词,,仅评论,,,,,,,,,,
,,,,,,,,,,uid,,仅评论,,,,,,,,,,
,,,,,,,,,,指定板块（名称）,,仅评论,,,,,,,,,,
海外,Ruliweb,128,112,-,海外新闻论坛库,,1244369241,,32,关键词,,"主帖,评论,互动量",,,,,,,,,,
,,,,,,,,,,单帖url,,"主帖,评论,互动量",full_url,,"{""full_url"":""%s"",""crawler"":100610463,""hermesAppId"":""120928375"",""GLOBAL_UNIQUE_ON"":""false""}",,,,,,,
,,,,,,,,,,uid,,"主帖,评论,互动量",,,,,,,,,,
,,,,,,,,,,指定板块（名称）,,"主帖,评论,互动量",,,,,,,,,,
海外,Arcalive,129,113,-,海外新闻论坛库,,1244369242,,32,关键词,,"主帖,评论,互动量",,,,,,,,,,
,,,,,,,,,,单帖url,,"主帖,评论,互动量",full_url,,"{""full_url"":""%s"",""crawler"":100610434,""hermesAppId"":""120928375"",""GLOBAL_UNIQUE_ON"":""false""}",,,,,,,
,,,,,,,,,,uid,,"主帖,评论,互动量",,,,,,,,,,
,,,,,,,,,,指定板块（名称）,,"主帖,评论,互动量",,,,,,,,,,
海外,巴哈姆特,130,114,-,海外新闻论坛库,,1244369244,,32,关键词,,"主帖,评论,互动量",,,,,,,,,,
,,,,,,,,,,单帖url,,"主帖,评论,互动量",full_url,,"{""full_url"":""%s"",""crawler"":100610449,""hermesAppId"":""120928375"",""GLOBAL_UNIQUE_ON"":""false""}",,,,,,,
,,,,,,,,,,uid,,"主帖,评论,互动量",,,,,,,,,,
,,,,,,,,,,指定板块（名称）,,"主帖,评论,互动量",,,,,,,,,,
海外,INVEN,131,115,论坛,海外新闻论坛库,,1244734558,,32,关键词,,"主帖,评论,互动量",,,,,,,,,,
,,,,,,,,,,单帖url,,"主帖,评论,互动量",full_url,,"{""full_url"":""%s"",""crawler"":100610453,""hermesAppId"":""120928375"",""GLOBAL_UNIQUE_ON"":""false""}",,,,,,,
,,,,,,,,,,指定板块（名称）,,"主帖,评论,互动量",,,,,,,,,,
,,,116,新闻,海外新闻论坛库,,1244734557,,31,关键词,,"主帖,评论,互动量",,,,,,,,,,
,,,,,,,,,,单帖url,,"主帖,评论,互动量",full_url,,"{""full_url"":""%s"",""crawler"":100610451,""hermesAppId"":""120928375"",""GLOBAL_UNIQUE_ON"":""false""}",,,,,,,
海外,FaceBook,132,117,个人主页,海外社媒大库,,1227422,,34,关键词,,"主帖,评论,互动量",,,,,,,,,,
,,,,,,,,,,单帖url,,"主帖,评论,互动量",full_url,,"{""full_url"":""%s"",""crawler"":100610478,""hermesAppId"":""120928375"",""GLOBAL_UNIQUE_ON"":""false""},{""full_url"":""%s"",""crawler"":100610488,""hermesAppId"":""120928375"",""GLOBAL_UNIQUE_ON"":""false""},{""full_url"":""%s"",""crawler"":100610489,""hermesAppId"":""120928375"",""GLOBAL_UNIQUE_ON"":""false""},{""full_url"":""%s"",""crawler"":100610475,""hermesAppId"":""120928375"",""totalPage"": ""1000""}",,,,,,,
,,,,,,,,,,uid,,"主帖,评论,互动量",,,,,,,,,,
,,,,,,,,,,用户url,,"主帖,评论,互动量,账号信息",,,,,,,,,,
,,,118,小组,,,,,,关键词,,"主帖,评论,互动量",,,,,,,,,,
,,,,,,,,,,单帖url,,"主帖,评论,互动量",full_url,,"{""full_url"":""%s"",""crawler"":100610478,""hermesAppId"":""120928375"",""GLOBAL_UNIQUE_ON"":""false""},{""full_url"":""%s"",""crawler"":100610488,""hermesAppId"":""120928375"",""GLOBAL_UNIQUE_ON"":""false""},{""full_url"":""%s"",""crawler"":100610489,""hermesAppId"":""120928375"",""GLOBAL_UNIQUE_ON"":""false""},{""full_url"":""%s"",""crawler"":100610475,""hermesAppId"":""120928375"",""totalPage"": ""1000""}",,,,,,,
,,,,,,,,,,uid,,"主帖,评论,互动量",,,,,,,,,,
,,,,,,,,,,指定小组,,"主帖,评论,互动量",,,,,,,,,,
海外,Steam,133,120,论坛,海外新闻论坛库,,1244924692,,32,关键词,,"主帖,评论,互动量",,,,,,,,,,
,,,,,,,,,,单帖url,,"主帖,评论,互动量",full_url,,"{""full_url"":""%s"",""crawler"":100610479,""hermesAppId"":""120928375"",""GLOBAL_UNIQUE_ON"":""false""}",,,,,,,
,,,,,,,,,,指定板块（名称）,,"主帖,评论,互动量",,,,,,,,,,
,,,121,游戏,,,24197157,,39,关键词,,"主帖,评论,互动量",,,,,,,,,,
,,,,,,,,,,单帖url,,"主帖,评论,互动量",,,,,,,,,,
,,,,,,,,,,指定板块（名称）,,"主帖,评论,互动量",,,,,,,,,,
海外,5ch,134,122,论坛,海外新闻论坛库,,1244369245,,32,关键词,,"主帖,评论,互动量",,,,,,,,,,
,,,,,,,,,,单帖url,,"主帖,评论,互动量",full_url,,"{""full_url"":""%s"",""crawler"":100610490,""runType"":""1"",""hermesAppId"":""120928375"",""GLOBAL_UNIQUE_ON"":""false""}",,,,,,,
,,,,,,,,,,uid,,"主帖,评论,互动量",,,,,,,,,,
,,,,,,,,,,指定板块（名称）,,"主帖,评论,互动量",,,,,,,,,,
海外,Pinterest,135,123,-,海外新闻论坛库,,1244369436,,36,关键词,,"主帖,评论,互动量",,,,,,,,,,
,,,,,,,,,,单帖url,,"主帖,评论,互动量",full_url,,"{""full_url"":""%s"",""crawler"":100610496,""hermesAppId"":""120928375"",""GLOBAL_UNIQUE_ON"":""false""}",,,,,,,
,,,,,,,,,,uid,,"主帖,评论,互动量",,,,,,,,,,
海外,TikTok,136,124,-,Tiktok,,1244369434,,35,关键词,,"主帖,评论,互动量",,,,,,,,,,
,,,,,,,,,,单帖url,,"主帖,评论,互动量",full_url,,"{""crawler"":100610502,""full_url"":""%s"",""hermesAppId"":""120928375"",""GLOBAL_UNIQUE_ON"":""false""}",,,,,,,
,,,,,,,,,,uid,,"主帖,评论,互动量",,,,,,,,,,
,,,,,,,,,,用户url,,"主帖,评论,互动量,账号信息",,,,,,,,,,
海外,Instagram,137,125,-,海外社媒大库,,1202847,,37,关键词,,"主帖,评论,互动量",,,,,,,,,,
,,,,,,,,,,单帖url,,"主帖,评论,互动量",full_url,,"{""crawler"":23617,""full_url"":""%s"",""hermesAppId"":""120928375"",""GLOBAL_UNIQUE_ON"":""false""}",,,,,,,
,,,,,,,,,,uid,,"主帖,评论,互动量",,,,,,,,,,
,,,,,,,,,,用户url,,"主帖,评论,互动量,账号信息",,,,,,,,,,
海外,telegram,153,135,-,海外新闻论坛库,,1246940239,,42,关键词,,仅评论,,,,,,,,,,
,,,,,,,,,,uid,,仅评论,,,,,,,,,,
,,,,,,,,,,指定板块（名称）,,仅评论,,,,,,,,,,
海外,Vkonate,156,138,-,海外新闻论坛库,,1248623184,,43,关键词,,主帖,,,,,,,,,,
,,,,,,,,,,单帖url,,"主帖,互动量",,,,,,,,,,
海外,海外新闻,155,137,-,海外新闻论坛库,,/,,31,关键词,,主帖,,,,,,,,,,
海外,海外论坛,154,136,-,海外新闻论坛库,,/,,32,关键词,,主帖,,,,,,,,,,
海外,AppStore海外,157,139,-,海外新闻论坛库,,1249224890,,39,指定板块（名称）,,"主帖,评论,互动量,仅评论",,,,,,,,,,
海外,Google Play,158,140,-,海外新闻论坛库,,1249224639,,39,指定板块（名称）,,"主帖,评论,互动量,仅评论",,,,,,,,,,
海外, Samsung Galaxy Store,159,141,-,海外新闻论坛库,,1249224148,,39,指定板块（名称）,,"主帖,评论,互动量,仅评论",,,,,,,,,,
海外,GSMArena,160,142,论坛,海外新闻论坛库,,1248475527,,32,关键词,,"主帖,评论,互动量",,,,,,,,,,
,,,,,,,,,,单帖url,surl,"主帖,评论,互动量,仅评论（含子评）",,,,,,,,,,
,,,,,,,,,,item_id,,"主帖,评论,互动量,仅评论（含子评）",,,,,,,,,,
,,,143,新闻,海外新闻论坛库,,1249408432,,31,关键词,,主帖,,,,,,,,,,
海外,oppobbs,162,145,-,海外新闻论坛库,,1249426567,,32,关键词,,"主帖,评论,互动量",,,,,,,,,,
,,,,,,,,,,单帖url,surl,"主帖,评论,互动量,仅评论",,,,,,,,,,
,,,,,,,,,,指定板块（名称）,,"主帖,评论,互动量",,,,,,,,,,
海外,oneplusbbs,163,146,-,海外新闻论坛库,,1249421941,,32,关键词,,"主帖,评论,互动量",,,,,,,,,,
,,,,,,,,,,单帖url,surl,"主帖,评论,互动量,仅评论",,,,,,,,,,
海外,Lazada,164,147,电商,海外电商评论库,,1248505610,,44,商品url,url,商品评论,,,,,,,,,,
海外,Shopee,165,148,电商,海外电商评论库,,1248505799,,44,商品url,url,商品评论,,,,,,,,,,
海外,Amazon,168,152,电商,海外电商评论库,,1248738192,,44,商品url,url,商品评论,,,,,,,,,,
海外,wildberries,166,149,问答,海外新闻论坛库,,1249345793,,44,商品url,url,"问题,问题的回答",,,,,,,,,,
海外,Yandex Market,167,150,电商,海外电商评论库,,1249357180,,44,商品url,url,商品评论,,,,,,,,,,
,,167,161,问答,海外新闻论坛库,,1249357209,,45,商品url,url,"问题,问题的回答",,,,,,,,,,
海外,Lowyat,169,153,论坛,海外新闻论坛库,,1249359404,,32,关键词,,"主帖,评论,互动量",,,,,,,,,,
,,,,,,,,,,单帖url,surl,"主帖,评论,互动量,仅评论",,,,,,,,,,
,,,,,,,,,,指定板块（名称）,,"主帖,评论,互动量",,,,,,,,,,
,,169,160,新闻,海外新闻论坛库,,1249439150,,31,关键词,,主帖,,,,,,,,,,
海外,Pantip,170,154,论坛,海外新闻论坛库,,1248510042,,32,关键词,,"主帖,评论,互动量",,,,,,,,,,
,,,,,,,,,,单帖url,surl,"主帖,评论,互动量,仅评论",,,,,,,,,,
,,,,,,,,,,指定板块（名称）,,"主帖,评论,互动量",,,,,,,,,,
海外,IndiaConsumerForum,171,155,投诉,海外新闻论坛库,,1249342192,,46,关键词,,"主帖,评论,互动量",,,,,,,,,,
,,,,,,,,,,单帖url,surl,"主帖,评论,互动量,仅评论",,,,,,,,,,
海外,4PDA,172,156,论坛,海外新闻论坛库,,1249342192,,32,关键词,,"主帖,评论,互动量",,,,,,,,,,
,,,,,,,,,,单帖url,surl,"主帖,评论,互动量,仅评论",,,,,,,,,,
,,,,,,,,,,指定板块（名称）,,"主帖,评论,互动量",,,,,,,,,,
海外,HTCMania,173,157,论坛,海外新闻论坛库,,1248584475,,32,关键词,,"主帖,评论,互动量",,,,,,,,,,
,,,,,,,,,,单帖url,surl,"主帖,评论,互动量,仅评论",,,,,,,,,,
海外,Reclame AQUI,174,158,投诉,海外新闻论坛库,,1249439149,,46,关键词,,"主帖,评论,互动量",,,,,,,,,,
,,,,,,,,,,单帖url,surl,"主帖,评论,互动量,仅评论",,,,,,,,,,
海外,pocobbs,175,159,-,海外新闻论坛库,,1249451176,,32,关键词,,"主帖,评论,互动量",,,,,,,,,,
,,,,,,,,,,单帖url,surl,"主帖,评论,互动量,仅评论",,,,,,,,,,
海外,iphonebbs,161,144,-,海外新闻论坛库,,1249371430,,32,关键词,,"主帖,评论,互动量",,,,,,,,,,
,,,,,,,,,,单帖url,surl,"主帖,评论,互动量,仅评论",,,,,,,,,,
,,,,,,,,,,指定板块（名称）,,"主帖,评论,互动量",,,,,,,,,,
海外,realmebbs,176,162,-,海外新闻论坛库,,1249502609,,32,关键词,,"主帖,评论,互动量",,,,,,,,,,
,,,,,,,,,,单帖url,surl,"主帖,评论,互动量,仅评论",,,,,,,,,,
海外,Tecnobbs,177,163,-,海外新闻论坛库,,1249518335,,32,关键词,,"主帖,评论,互动量",,,,,,,,,,
,,,,,,,,,,单帖url,surl,"主帖,评论,互动量,仅评论",,,,,,,,,,
海外,xiaomibbs,178,164,-,海外新闻论坛库,,1249546026,,32,关键词,,"主帖,评论,互动量",,,,,,,,,,
,,,,,,,,,,单帖url,surl,"主帖,评论,互动量,仅评论",,,,,,,,,,
,,,,,,,,,,指定板块（名称）,,"主帖,评论,互动量,仅评论",,,,,,,,,,
海外,samsungbbs,179,165,-,海外新闻论坛库,,1249532331,,32,关键词,,"主帖,评论,互动量",,,,,,,,,,
,,,,,,,,,,单帖url,surl,"主帖,评论,互动量,仅评论",,,,,,,,,,
,,,,,,,,,,指定板块（名称）,,"主帖,评论,互动量,仅评论",,,,,,,,,,
海外,DNS,180,166,电商,海外电商评论库,,1249533072,,44,商品url,url,商品评论,,,,,,,,,,
海外,DNS-Q&A,180,167,问答,海外新闻论坛库,,1249543619,,45,商品url,url,"问题,问题的回答",,,,,,,,,,
海外,4PDA-Reviews,172,169,评测,海外新闻论坛库,,1249412518,,46,关键词,,"主帖,评论,互动量",,,,,,,,,,
,,,,,,,,,,单帖url,surl,"主帖,评论,互动量,仅评论",,,,,,,,,,
海外,ConsumerComplaints,181,170,投诉,海外新闻论坛库,,1249452287,,46,关键词,,"主帖,评论,互动量",,,,,,,,,,
,,,,,,,,,,单帖url,surl,"主帖,评论,互动量,仅评论",,,,,,,,,,
海外,4PDA-News,172,171,新闻,海外新闻论坛库,,1249412503,,31,关键词,,主帖,,,,,,,,,,
海外,alkosto,182,172,电商评论,海外电商评论库,,1338771,,44,商品url,,商品评论,,,,,,,,,,
海外,falabella,183,173,电商评论,海外电商评论库,,1338802,,44,商品url,,商品评论,,,,,,,,,,
海外,magalu,184,174,电商评论,海外电商评论库,,1337169,,44,商品url,,商品评论,,,,,,,,,,
海外,Adrenaline,185,175,论坛,海外新闻论坛库,,1248540238,,32,关键词,,"主帖,评论,互动量",,,,,,,,,,
,,,,,,,,,,单帖url,,"主帖,评论,互动量,仅评论",,,,,,,,,,
,,,,,,,,,,指定板块（名称）,,"主帖,评论,互动量",,,,,,,,,,
海外,Android Central-Forum,186,176,论坛,海外新闻论坛库,,1228009,,32,关键词,,"主帖,评论,互动量",,,,,,,,,,
,,,,,,,,,,单帖url,,"主帖,评论,互动量,仅评论",,,,,,,,,,
,,,,,,,,,,指定板块（名称）,,"主帖,评论,互动量",,,,,,,,,,
海外,ASEAN NOW-Forum,187,177,论坛,海外新闻论坛库,,1249642889,,32,关键词,,"主帖,评论,互动量",,,,,,,,,,
,,,,,,,,,,单帖url,,"主帖,评论,互动量,仅评论",,,,,,,,,,
海外,hardmob,188,178,论坛,海外新闻论坛库,,1249633636,,32,关键词,,"主帖,评论,互动量",,,,,,,,,,
,,,,,,,,,,单帖url,,"主帖,评论,互动量,仅评论",,,,,,,,,,
,,,,,,,,,,指定板块（名称）,,"主帖,评论,互动量",,,,,,,,,,
海外,Cari-Forum,189,179,论坛,海外新闻论坛库,,1248512511,,32,关键词,,"主帖,评论,互动量",,,,,,,,,,
,,,,,,,,,,单帖url,,"主帖,评论,互动量,仅评论",,,,,,,,,,
,,,,,,,,,,指定板块（名称）,,"主帖,评论,互动量",,,,,,,,,,
海外,HONORbbs,194,185,论坛,海外新闻论坛库,,1243435063,,32,关键词,,"主帖,评论,互动量",,,,,,,,,,
,,,,,,,,,,单帖url,,"主帖,评论,互动量,仅评论",,,,,,,,,,
海外,nothingbbs,195,186,论坛,海外新闻论坛库,,1249631225,,32,关键词,,"主帖,评论,互动量",,,,,,,,,,
,,,,,,,,,,单帖url,,"主帖,评论,互动量,仅评论",,,,,,,,,,
海外,Infinixbbs,199,191,论坛,海外新闻论坛库,,1249805708,,32,关键词,,"主帖,评论,互动量",,,,,,,,,,
,,,,,,,,,,单帖url,,"主帖,评论,互动量,仅评论",,,,,,,,,,
海外,OZON,190,180,电商评论,海外电商评论库,,2341896,,,商品url,,商品评论,,,,,,,,,,
海外,OZON-Q&A,190,181,问答,海外新闻论坛库,,1249696014,,,商品url,,"问题,问题的回答",,,,,,,,,,
海外,Mercado Libre,191,182,电商评论,海外电商评论库,,1249738176,,,商品url,,商品评论,,,,,,,,,,
海外,noon,192,183,电商评论,海外电商评论库,,1248725889,,,商品url,,商品评论,,,,,,,,,,
海外,PC Componentes,193,184,电商评论,海外电商评论库,,1337159,,,商品url,,商品评论,,,,,,,,,,
海外,iXBT Forum,196,187,论坛,海外新闻论坛库,,1248584505,,32,关键词,,"主帖,评论,互动量",,,,,,,,,,
,,,,,,,,,,单帖url,,"主帖,评论,互动量,仅评论",,,,,,,,,,
海外,vc.ru,197,188,论坛,海外新闻论坛库,,1248568634,,32,关键词,,"主帖,评论,互动量",,,,,,,,,,
,,,,,,,,,,单帖url,,"主帖,评论,互动量,仅评论",,,,,,,,,,
海外,avforums,200,192,论坛,海外新闻论坛库,,1248588732,,32,关键词,,"主帖,评论,互动量",,,,,,,,,,
,,,,,,,,,,单帖url,,"主帖,评论,互动量,仅评论",,,,,,,,,,
,,,,,,,,,,指定板块（名称）,,"主帖,评论,互动量",,,,,,,,,,
海外,elotrolado,201,193,论坛,海外新闻论坛库,,1248574977,,32,关键词,,"主帖,评论,互动量",,,,,,,,,,
,,,,,,,,,,单帖url,,"主帖,评论,互动量,仅评论",,,,,,,,,,
,,,,,,,,,,指定板块（名称）,,"主帖,评论,互动量",,,,,,,,,,
海外,SiamPhone-Forum,,,论坛,海外新闻论坛库,,,,32,关键词,,"主帖,评论,互动量",,,,,,,,,,
